Afstemningsområde	Opstillingskreds	Storkreds	Landsdel	Filnavn	Stemmeberettigede	IAltGyldigeStemmer	BlankeStemmer	AndreUgyldigeStemmer	IAltAfgivneStemmer	A	B	C	F	I	K	O	V	Ø	Å	UdenForParti
"Dalby/Tved/Rebæk"	"12. Kolding Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495462.xml"	3202	2896	20	16	2932	565	135	110	79	344	17	638	854	69	85	0
"S Bjert/S Stenderup/Vejstrup"	"12. Kolding Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495463.xml"	3328	2930	14	4	2948	638	120	70	154	229	9	783	640	151	136	0
"Vonsild"	"12. Kolding Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495464.xml"	2137	1850	16	5	1871	461	44	39	70	155	8	565	410	60	38	0
"Vamdrup/Hjarup/Ødis"	"12. Kolding Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495465.xml"	5458	4639	27	20	4686	1055	95	385	112	295	52	1408	1001	164	72	0
"Chr.Feld/Stepping/Taps/Hejls"	"12. Kolding Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495466.xml"	5047	4267	23	13	4303	913	108	118	138	342	77	1331	994	146	100	0
"Brejning Syd"	"9. Vejle Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495429.xml"	2313	1891	21	9	1921	524	100	44	76	138	30	475	331	90	83	0
"Børkop Syd"	"9. Vejle Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495430.xml"	4267	3721	27	12	3760	882	141	78	130	318	79	1000	774	195	124	0
"Gårslev Syd"	"9. Vejle Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495431.xml"	1594	1452	3	2	1457	405	36	32	25	106	56	398	287	63	44	0
"Smidstrup Syd"	"9. Vejle Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495432.xml"	1709	1513	13	2	1528	297	40	32	41	107	20	518	366	47	45	0
"Ødsted Syd"	"9. Vejle Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495433.xml"	1428	1284	12	3	1299	285	40	29	42	95	20	404	304	32	33	0
"Egtved Syd"	"9. Vejle Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495434.xml"	2702	2271	25	9	2305	431	111	41	57	179	11	631	685	72	53	0
"Jerlev Syd"	"9. Vejle Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495435.xml"	744	669	6	1	676	142	25	15	17	53	2	244	134	23	14	0
"Øster Starup Syd"	"9. Vejle Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495436.xml"	1485	1309	12	4	1325	274	53	24	54	93	16	379	309	61	46	0
"Dgi-Huset Syd"	"9. Vejle Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495437.xml"	10935	8278	89	37	8404	2093	354	169	375	875	94	2041	1356	577	344	0
"Multihuset Højen Syd"	"9. Vejle Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495438.xml"	934	839	13	4	856	182	29	11	29	71	15	233	208	32	29	0
"Vindinghallen Syd"	"9. Vejle Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495439.xml"	3584	3220	20	11	3251	743	117	87	95	313	24	822	838	99	82	0
"Mølholmhallen Syd"	"9. Vejle Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495440.xml"	2623	2385	17	8	2410	485	172	78	79	282	12	480	608	97	92	0
"Løget Kirke Syd"	"9. Vejle Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495441.xml"	2071	1667	15	7	1689	526	56	21	59	80	16	391	245	191	82	0
"Csv Syd"	"9. Vejle Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495442.xml"	2305	1900	21	6	1927	579	81	38	75	122	16	502	267	138	82	0
"Rødkilde Gymnasium Syd"	"9. Vejle Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495443.xml"	3244	2590	27	17	2634	723	96	42	134	271	23	648	367	189	97	0
"Skibethallen Nord"	"8. Vejle Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495410.xml"	1643	1510	12	3	1525	334	90	44	47	163	21	347	366	63	35	0
"Give Nord"	"8. Vejle Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495411.xml"	4457	3805	35	12	3852	736	81	84	66	172	52	1568	873	97	76	0
"Thyregod Nord"	"8. Vejle Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495412.xml"	1732	1507	12	3	1522	215	37	23	25	78	29	734	252	60	54	0
"Gadbjerg Nord"	"8. Vejle Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495413.xml"	949	828	4	8	840	143	14	27	25	58	11	303	196	28	23	0
"Givskud Nord"	"8. Vejle Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495414.xml"	879	760	11	3	774	132	13	15	18	42	9	282	207	29	13	0
"Grønbjerg Nord"	"8. Vejle Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495415.xml"	789	690	3	1	694	89	14	14	16	46	19	287	174	17	14	0
"Lindeballe Nord"	"8. Vejle Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495416.xml"	369	333	4	0	337	62	7	9	6	28	0	117	86	7	11	0
"Øster Nykirke Nord"	"8. Vejle Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495417.xml"	1244	1072	7	1	1080	186	20	18	29	71	4	456	226	35	27	0
"Jelling Nord"	"8. Vejle Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495418.xml"	3099	2762	27	8	2797	631	150	67	133	184	35	515	657	184	206	0
"Kollerup-Sandvad Nord"	"8. Vejle Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495419.xml"	1282	1118	7	5	1130	189	35	19	27	67	25	335	308	73	40	0
"Grejs Nord"	"8. Vejle Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495420.xml"	1045	927	10	4	941	212	43	18	30	90	28	224	211	31	40	0
"Bredsten Nord"	"8. Vejle Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495421.xml"	1624	1472	5	4	1481	284	56	28	43	91	11	447	401	62	49	0
"Nørup Nord"	"8. Vejle Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495422.xml"	1220	1076	6	4	1086	164	30	23	25	98	8	341	313	38	36	0
"Randbøl Nord"	"8. Vejle Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495423.xml"	1155	1044	7	2	1053	197	26	19	33	90	8	337	249	47	38	0
"Nørremarkshallen Nord"	"8. Vejle Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495424.xml"	4452	3625	26	13	3664	1036	198	77	158	253	85	828	586	271	133	0
"Engum Nord"	"8. Vejle Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495425.xml"	920	819	7	2	828	170	32	21	15	122	13	218	186	21	21	0
"Hældagerhallen Nord"	"8. Vejle Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495426.xml"	6295	5685	36	13	5734	1258	265	207	135	750	55	1195	1453	196	171	0
"Grejsdalshallen Nord"	"8. Vejle Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495427.xml"	1770	1505	24	5	1534	378	70	35	79	106	34	384	219	100	100	0
"Petersmindehallen Nord"	"8. Vejle Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495428.xml"	3046	2706	25	15	2746	736	107	63	115	212	38	661	520	145	109	0
"Herning"	"8. Herning Syd"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495775.xml"	19375	16060	165	72	16297	3579	533	596	641	1407	418	3381	4244	844	409	8
"Arnborg"	"8. Herning Syd"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495776.xml"	1023	854	7	4	865	175	21	24	14	43	22	272	240	30	13	0
"Kibæk"	"8. Herning Syd"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495777.xml"	2451	2122	10	4	2136	434	54	78	32	133	85	550	676	58	22	0
"Kølkær"	"8. Herning Syd"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495778.xml"	746	626	9	4	639	142	10	15	17	26	30	194	150	25	17	0
"Lind"	"8. Herning Syd"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495779.xml"	4202	3823	28	8	3859	816	92	139	118	285	75	731	1409	96	62	0
"Sdr. Felding"	"8. Herning Syd"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495780.xml"	1769	1513	11	1	1525	316	34	34	30	47	71	418	473	52	38	0
"Skarrild"	"8. Herning Syd"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495781.xml"	716	638	2	1	641	107	13	31	7	32	28	175	208	20	17	0
"Studsgård"	"8. Herning Syd"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495782.xml"	589	523	6	4	533	94	18	12	20	31	17	138	153	28	12	0
"Aulum"	"9. Herning Nord"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495783.xml"	3014	2691	24	5	2720	511	47	116	58	133	192	607	898	91	38	0
"Feldborg"	"9. Herning Nord"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495784.xml"	583	496	2	3	501	88	7	19	9	28	5	195	126	12	7	0
"Gullestrup"	"9. Herning Nord"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495785.xml"	1224	1014	7	4	1025	249	30	16	54	68	36	213	197	112	39	0
"Haderup"	"9. Herning Nord"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495786.xml"	878	782	2	1	785	125	25	28	16	40	17	238	260	19	14	0
"Hammerum"	"9. Herning Nord"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495787.xml"	6077	5357	40	15	5412	1054	207	219	173	499	190	1020	1691	172	129	3
"Hodsager"	"9. Herning Nord"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495788.xml"	524	465	2	4	471	75	3	18	13	32	26	134	150	10	4	0
"Ilskov"	"9. Herning Nord"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495789.xml"	691	612	6	0	618	135	17	14	12	27	8	187	179	28	5	0
"Simmelkær"	"9. Herning Nord"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495790.xml"	355	293	4	1	298	46	3	18	4	12	7	86	105	9	3	0
"Sinding"	"9. Herning Nord"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495791.xml"	670	596	8	1	605	97	18	17	17	29	33	141	207	24	13	0
"Skibbild/Nøvling"	"9. Herning Nord"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495792.xml"	724	675	6	1	682	148	24	21	25	25	62	159	168	32	11	0
"Snejbjerg"	"9. Herning Nord"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495793.xml"	3475	3164	24	5	3193	675	83	110	94	190	97	693	1097	78	46	1
"Sunds"	"9. Herning Nord"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495794.xml"	3381	2999	21	3	3023	599	94	74	64	196	37	717	1088	81	49	0
"Timring"	"9. Herning Nord"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495795.xml"	960	818	4	0	822	116	16	23	22	38	67	206	290	24	15	1
"Tjørring"	"9. Herning Nord"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495796.xml"	4104	3638	29	3	3670	840	110	148	124	233	201	733	1070	120	56	3
"Vildbjerg"	"9. Herning Nord"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495797.xml"	3164	2799	18	2	2819	501	62	94	73	155	139	675	956	97	47	0
"Vind"	"9. Herning Nord"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495798.xml"	380	343	0	0	343	96	6	13	8	31	6	66	99	9	8	1
"Vinding"	"9. Herning Nord"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495799.xml"	1220	1108	3	2	1113	184	21	35	16	63	102	235	415	21	16	0
"Ørnhøj"	"9. Herning Nord"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495800.xml"	848	739	4	5	748	131	13	15	15	45	17	213	260	17	13	0
"Musikteatret"	"10. Holstebro"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495801.xml"	14011	11893	123	40	12056	3567	382	448	452	768	241	2268	2886	543	318	20
"Mejdal"	"10. Holstebro"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495802.xml"	3412	3133	28	5	3166	879	96	93	87	202	45	551	1004	87	87	2
"Skave"	"10. Holstebro"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495803.xml"	1626	1412	5	6	1423	340	26	53	36	82	19	291	497	35	31	2
"Mejrup"	"10. Holstebro"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495804.xml"	2890	2618	23	9	2650	682	97	90	78	221	29	450	852	68	51	0
"Birkelundskolen"	"10. Holstebro"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495805.xml"	9987	8409	77	17	8503	2924	202	263	343	399	248	1745	1661	458	154	12
"Vinderup"	"10. Holstebro"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495806.xml"	4258	3646	41	8	3695	1002	98	127	94	179	69	904	1005	110	56	2
"Sevel"	"10. Holstebro"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495807.xml"	1505	1308	16	2	1326	272	36	69	43	84	43	268	428	44	19	2
"Ulfborg"	"10. Holstebro"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495808.xml"	2515	2194	13	4	2211	536	42	78	93	85	16	516	699	85	43	1
"Vemb"	"10. Holstebro"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495809.xml"	1549	1341	16	5	1362	340	26	41	46	52	7	374	391	37	24	3
"Sdr. Nissum"	"10. Holstebro"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495810.xml"	887	773	7	2	782	220	12	19	24	35	3	196	219	29	16	0
"Lemvig"	"1. Struer"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495678.xml"	5382	4561	33	15	4609	1240	115	282	210	194	86	960	1239	136	98	1
"Nørre Nissum"	"1. Struer"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495679.xml"	1940	1695	18	7	1720	403	58	90	105	88	38	303	480	62	68	0
"Klinkby"	"1. Struer"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495680.xml"	1602	1411	8	5	1424	349	27	80	83	60	19	286	427	48	32	0
"Ramme"	"1. Struer"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495681.xml"	1531	1334	8	9	1351	306	25	43	72	64	21	315	380	67	41	0
"Bøvling"	"1. Struer"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495682.xml"	1089	928	5	1	934	150	19	42	40	53	13	240	322	22	25	2
"Flynder"	"1. Struer"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495683.xml"	1082	966	7	4	977	135	14	138	41	49	16	200	321	36	16	0
"Thyborøn"	"1. Struer"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495684.xml"	1614	1355	8	5	1368	264	14	29	28	34	14	347	588	28	8	1
"Harboøre"	"1. Struer"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495685.xml"	1424	1268	2	1	1271	326	16	29	21	33	71	238	490	35	9	0
"Struer"	"1. Struer"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495686.xml"	6231	5206	38	16	5260	1703	116	211	277	214	45	1106	1102	313	115	4
"Gimsing"	"1. Struer"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495687.xml"	1664	1436	16	2	1454	432	28	68	76	61	9	321	337	69	35	0
"Hjerm"	"1. Struer"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495688.xml"	1288	1126	14	1	1141	259	18	43	29	63	23	268	366	41	13	3
"Humlum"	"1. Struer"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495689.xml"	1343	1187	13	2	1202	353	10	37	47	56	17	258	321	58	30	0
"Bremdal"	"1. Struer"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495690.xml"	1486	1353	8	3	1364	395	44	51	55	72	8	234	398	47	49	0
"Langhøj"	"1. Struer"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495691.xml"	1652	1497	10	3	1510	291	29	53	46	64	37	378	522	46	31	0
"Hvidbjerg"	"1. Struer"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495692.xml"	2447	2089	22	4	2115	541	38	121	88	79	38	455	585	96	48	0
"Ebeltoft"	"5. Djurs"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495546.xml"	6888	5876	38	22	5936	1482	162	189	392	400	20	1335	1288	280	325	3
"Mols"	"5. Djurs"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495547.xml"	2995	2643	12	9	2664	547	89	67	200	154	4	622	521	185	246	8
"Tirstrup"	"5. Djurs"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495548.xml"	1731	1460	8	3	1471	359	10	29	181	67	4	336	291	85	98	0
"Kolind"	"5. Djurs"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495549.xml"	2552	2129	15	8	2152	514	51	43	142	143	9	563	473	109	81	1
"Ryomgård"	"5. Djurs"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495550.xml"	3525	2890	25	7	2922	804	62	73	131	163	9	772	581	153	138	4
"Hornslet"	"5. Djurs"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495551.xml"	5332	4670	38	10	4718	1302	173	110	220	311	18	1025	1001	276	229	5
"Mørke"	"5. Djurs"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495552.xml"	2685	2281	20	4	2305	577	48	37	112	163	15	602	439	143	143	2
"Rønde"	"5. Djurs"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495553.xml"	5751	5030	41	9	5080	1223	235	161	274	452	28	1020	973	285	377	2
"Kulturhuset Pavillonen"	"5. Djurs"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495554.xml"	7844	6439	60	25	6524	1969	114	138	213	325	26	1587	1480	335	245	7
"Anholt Skole"	"5. Djurs"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495555.xml"	119	95	1	1	97	22	3	3	1	4	0	23	13	15	11	0
"Kulturhuset Stationen"	"5. Djurs"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495556.xml"	1983	1702	3	8	1713	402	21	28	73	84	2	555	355	112	68	2
"Grenaa Idrætscenter"	"5. Djurs"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495557.xml"	5556	4389	55	15	4459	1538	64	87	168	192	9	1180	756	245	145	5
"Glesborg"	"5. Djurs"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495558.xml"	3061	2608	26	9	2643	665	57	55	101	105	36	696	581	175	136	1
"Ørum"	"5. Djurs"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495559.xml"	1703	1416	13	0	1429	342	17	26	45	71	4	359	381	111	59	1
"Ørsted"	"5. Djurs"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495560.xml"	2509	2022	23	4	2049	571	45	42	78	88	11	583	389	140	71	4
"Allingåbro"	"5. Djurs"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495561.xml"	1994	1651	8	2	1661	506	21	24	58	93	20	472	291	117	49	0
"Auning"	"5. Djurs"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495562.xml"	3148	2693	15	7	2715	756	58	49	79	156	7	758	614	142	72	2
"Vivild"	"5. Djurs"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495563.xml"	1408	1180	6	4	1190	356	28	17	51	68	17	261	239	78	65	0
"Hadsten Nord"	"8. Favrskov"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495594.xml"	4024	3494	26	14	3534	939	175	98	129	256	18	735	815	188	136	5
"Hadsten Syd"	"8. Favrskov"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495595.xml"	2778	2444	24	8	2476	718	99	67	68	166	19	536	567	120	83	1
"Hadbjerg"	"8. Favrskov"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495596.xml"	1566	1385	22	4	1411	360	63	39	51	106	11	315	333	46	56	5
"Hammel Nord"	"8. Favrskov"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495597.xml"	5617	4847	48	13	4908	1469	173	169	177	298	22	1072	1081	223	161	2
"Hammel Syd"	"8. Favrskov"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495598.xml"	1504	1346	10	2	1358	349	37	39	50	78	9	366	286	78	53	1
